ID,Episode,Title,Subject
51,S04E12,Autumn Days,"Deciduous, Grass, Hills, Lake, Tree, Trees"
52,S04E13,Mountain Challenge,"Conifer, Grass, Lake, Mountain, Snowy_Mountain, Tree"
53,S05E01,Mountain Waterfall,"Bushes, Clouds, Conifer, Cumulus, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees, Waterfall"
54,S05E02,Twilight Meadow,"Clouds, Cumulus, Deciduous, Grass, Lake, Tree, Trees"
55,S05E03,Mountain Blossoms,"Conifer, Flowers, Guest, Mountain, Mountains, Snow, Snowy_Mountain, Tree, Trees"
56,S05E04,Winter Stillness,"Conifer, Deciduous, Lake, Snow, Tree, Trees, Winter"
57,S05E05,Quiet Pond,"Deciduous, Grass, Lake, Tree, Trees"
58,S05E06,Ocean Sunrise,"Clouds, Grass, Guest, Ocean, Sun"
59,S05E07,Bubbling Brook,"Deciduous, Grass, River, Rocks, Tree, Trees"
60,S05E08,Arizona Splendor,"Deciduous, Grass, Mountain, Mountains, River, Tree, Trees"
61,S05E09,Anatomy Of A Wave,"Guest, Ocean, Waves"
62,S05E10,The Windmill,"Barn, Clouds, Deciduous, Path, Structure, Tree, Windmill"
63,S05E11,Autumn Glory,"Bushes, Clouds, Cumulus, Deciduous, Grass, Lake, Mountain, Rocks, Snowy_Mountain, Tree, Trees"
64,S05E12,Indian Girl,"Guest, Portrait"
65,S05E13,Meadow Stream,"Barn, Clouds, Deciduous, Grass, River, Rocks, Structure, Tree, Trees"
66,S06E01,Blue River,"Bushes, Conifer, Deciduous, Grass, Hills, River, Tree, Trees"
67,S06E02,Nature'S Edge,"Bushes, Cabin, Clouds, Deciduous, Fog, Grass, Lake, Structure, Tree, Trees"
68,S06E03,Morning Mist,"Clouds, Conifer, Fog, Lake, Mountain, Snowy_Mountain, Tree, Trees"
69,S06E04,Whispering Stream,"Deciduous, Grass, River, Rocks, Tree, Trees"
70,S06E05,Secluded Forest,"Bushes, Deciduous, River, Tree, Trees"
71,S06E06,Snow Trail,"Clouds, Conifer, Cumulus, Grass, Snow, Tree, Trees"
72,S06E07,Arctic Beauty,"Cirrus, Clouds, Conifer, Grass, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees, Waterfall"
73,S06E08,Horizons West,"Bushes, Conifer, Lake, Mountain, Snowy_Mountain, Tree, Trees"
74,S06E09,High Chateau,"Bushes, Cabin, Clouds, Conifer, Cumulus, Grass, Rocks, Tree, Trees"
75,S06E10,Country Life,"Barn, Cirrus, Clouds, Fence, Grass"
76,S06E11,Western Expanse,"Cirrus, Clouds, Deciduous, Mountain, Mountains, River, Tree"
77,S06E12,Marshlands,"Bushes, Clouds, Deciduous, Lake, Tree, Trees"
78,S06E13,Blaze Of Color,"Clouds, Conifer, Deciduous, Grass, Hills, River, Tree, Trees"
79,S07E01,Winter Cabin,"Cabin, Clouds, Deciduous, Snow, Structure, Tree, Winter"
80,S07E02,Secluded Lake,"Clouds, Deciduous, Grass, Lake, Rocks, Tree, Trees"
81,S07E03,Evergreens At Sunset,"Cirrus, Clouds, Conifer, Deciduous, River, Sun, Tree, Trees"
82,S07E04,Mountain Cabin,"Cabin, Clouds, Conifer, Cumulus, Deciduous, Mountain, Mountains, River, Snowy_Mountain, Structure, Tree, Trees"
83,S07E05,Portrait Of Sally,"Guest, Portrait"
84,S07E06,Misty Waterfall,"Bushes, Clouds, Cumulus, Deciduous, Lake, River, Tree, Trees, Waterfall"
85,S07E07,Barn At Sunset,"Barn, Clouds, Cumulus, Deciduous, Path, Snow, Structure, Tree, Trees"
86,S07E08,Mountain Splendor,"Bushes, Deciduous, Mountain, River, Snowy_Mountain, Tree, Trees"
87,S07E09,Lake By Mountain,"Bushes, Clouds, Cumulus, Deciduous, Guest, Lake, Mountain, Snowy_Mountain, Steve_Ross, Tree, Trees"
88,S07E10,Mountain Glory,"Clouds, Conifer, Grass, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
89,S07E11,Grey Winter,"Bushes, Clouds, Lake, Snow, Tree, Trees, Winter"
90,S07E12,Dock Scene,"Boat, Clouds, Cumulus, Deciduous, Dock, Lake, Structure, Tree"
91,S07E13,Dark Waterfall,"Bushes, Deciduous, River, Tree, Trees, Waterfall"
92,S08E01,Misty Rolling Hills,"Conifer, Fog, Grass, Mountain, Mountains, Tree, Trees"
93,S08E02,Lakeside Cabin,"Bushes, Cabin, Circle_Frame, Clouds, Deciduous, Framed, Grass, Lake, Structure, Tree, Trees"
94,S08E03,Warm Winter Day,"Cabin, Deciduous, Grass, Snow, Structure, Sun, Tree, Trees, Winter"
95,S08E04,Waterside Way,"Bushes, Deciduous, Grass, Lake, Path, Rocks, Tree, Trees"
96,S08E05,Hunter'S Haven,"Cabin, Cirrus, Clouds, Conifer, Deciduous, Path, River, Rocks, Structure, Tree, Trees"
97,S08E06,Bubbling Mountain Brook,"Bushes, Clouds, Conifer, Grass, Mountain, Mountains, River, Tree, Trees"
98,S08E07,Winter Hideaway,"Cabin, Conifer, Deciduous, Fence, Snow, Structure, Tree, Trees, Winter"
99,S08E08,Foot Of The Mountain,"Conifer, Deciduous, Grass, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees"
100,S08E09,Majestic Pine,"Bushes, Clouds, Conifer, Framed, Rectangular_Frame, Tree, Trees"
101,S08E10,Cactus At Sunset,"Cactus, Clouds, Path, Rocks"
102,S08E11,Mountain Range,"Clouds, Conifer, Cumulus, Deciduous, Guest, Lake, Mountain, Mountains, Snowy_Mountain, Steve_Ross, Tree, Trees"
103,S08E12,Lonely Retreat,"Cabin, Clouds, Conifer, Snow, Structure, Tree, Winter"
104,S08E13,Northern Lights,"Aurora_Borealis, Cabin, Conifer, Deciduous, Lake, Mountain, Night, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter"
105,S09E01,Winter Evergreens,"Cirrus, Clouds, Conifer, Mountain, Mountains, Snow, Snowy_Mountain, Sun, Tree, Trees, Winter"
106,S09E02,Surf'S Up,"Beach, Cliff, Clouds, Cumulus, Ocean, Rocks, Waves"
107,S09E03,Red Sunset,"Bushes, Clouds, Conifer, Lake, Tree, Trees"
108,S09E04,Meadow Road,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, Mountain, Mountains, Path, Snowy_Mountain, Tree, Trees"
109,S09E05,Winter Oval,"Bushes, Cabin, Conifer, Fog, Framed, Mountain, Oval_Frame, River, Snowy_Mountain, Structure, Tree, Trees"
110,S09E06,Secluded Beach,"Beach, Clouds, Cumulus, Ocean, Rocks, Waves"
111,S09E07,Forest Hills,"Bushes, Conifer, Deciduous, Mountain, Mountains, River, Rocks, Snowy_Mountain, Tree, Trees"
112,S09E08,Little House By-The-Road,"Cabin, Deciduous, Fence, Mountain, Path, Structure, Tree, Trees"
113,S09E09,Mountain Path,"Bushes, Clouds, Mountain, River, Snowy_Mountain, Tree, Trees"
114,S09E10,Country Charm,
115,S09E11,Nature'S Paradise,"Bushes, Clouds, Cumulus, Deciduous, Grass, Mountain, Mountains, River, Tree, Trees"
116,S09E12,Mountain-By-The-Sea,"Beach, Bushes, Clouds, Cumulus, Deciduous, Mountain, Ocean, Snowy_Mountain, Tree, Waves"
117,S09E13,Mountain Hide-Away,"Cirrus, Clouds, Conifer, Deciduous, Grass, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees"
118,S10E01,Towering Peaks,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Hills, Lake, Mountain, Snowy_Mountain, Tree, Trees"
119,S10E02,Cabin At Sunset,"Cabin, Clouds, Conifer, Fence, Grass, Structure, Tree, Trees"
120,S10E03,Twin Falls,"Clouds, Conifer, Deciduous, Grass, Hills, River, Rocks, Tree, Trees, Waterfall"
121,S10E04,Secluded Bridge,"Bridge, Deciduous, River, Rocks, Structure, Tree, Trees"
122,S10E05,Ocean Breeze,"Clouds, Cumulus, Ocean, Rocks, Waves"
123,S10E06,Autumn Woods,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
124,S10E07,Winter Solitude,"Bushes, Deciduous, Snow, Tree, Trees, Winter"
125,S10E08,Golden Sunset,"Deciduous, Lake, Snow, Sun, Tree, Trees"
126,S10E09,Mountain Oval,"Bushes, Cirrus, Clouds, Conifer, Deciduous, Framed, Guest, Lake, Mountain, Mountains, Oval_Frame, Snowy_Mountain, Steve_Ross, Tree, Trees"
127,S10E10,Ocean Sunset,"Beach, Clouds, Ocean, Rocks, Waves"
128,S10E11,Triple View,"Cabin, Conifer, Deciduous, Framed, Grass, Mountain, Mountains, Path, Snowy_Mountain, Structure, Tree, Trees, Triple_Frame"
129,S10E12,Winter Frost,"Clouds, Conifer, Deciduous, Mountain, Mountains, Snow, Snowy_Mountain, Sun, Tree, Trees, Winter"
130,S10E13,Lakeside Cabin,"Cabin, Clouds, Cumulus, Deciduous, Grass, Lake, Path, Rocks, Structure, Tree, Trees"
131,S11E01,Mountain Stream,"Conifer, Grass, Mountain, River, Snowy_Mountain, Tree, Trees"
132,S11E02,Country Cabin,"Bushes, Cabin, Clouds, Conifer, Deciduous, Snow, Structure, Tree, Trees, Winter"
133,S11E03,Daisy Delight,"Conifer, Fence, Flowers, Tree, Trees"
134,S11E04,Hidden Stream,"Bushes, Clouds, Deciduous, River, Tree, Trees, Waterfall"
135,S11E05,Towering Glacier,"Clouds, Conifer, Cumulus, Grass, Mountain, River, Rocks, Snowy_Mountain, Tree, Trees, Waterfall"
136,S11E06,Oval Barn,"Barn, Bushes, Clouds, Cumulus, Deciduous, Framed, Oval_Frame, Snow, Structure, Tree, Trees, Winter"
137,S11E07,Lakeside Path,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, Lake, Path, Rocks, Tree, Trees"
138,S11E08,Sunset Oval,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Framed, Lake, Mountain, Oval_Frame, Snowy_Mountain, Tree, Trees"
139,S11E09,Winter Barn,"Barn, Cirrus, Clouds, Deciduous, Snow, Structure, Tree, Trees, Winter"
140,S11E10,Sunset Over The Waves,"Beach, Clouds, Ocean, Rocks, Sun, Waves"
141,S11E11,Golden Glow,"Clouds, Conifer, Lake, Snow, Tree, Trees, Waterfall"
142,S11E12,Roadside Barn,"Barn, Clouds, Cumulus, Deciduous, Fence, Lake, Path, Structure, Tree, Trees"
143,S11E13,Happy Accident,"Bushes, Deciduous, Grass, River, Rocks, Tree, Trees"
144,S12E01,Golden Knoll,"Cabin, Deciduous, Fog, Grass, Structure, Sun, Tree"
145,S12E02,Mountain Reflections,"Bushes, Clouds, Conifer, Cumulus, Mountain, Mountains, River, Rocks, Snowy_Mountain, Tree, Trees"
146,S12E03,Secluded Mountain,"Clouds, Conifer, Cumulus, Deciduous, Grass, Lake, Mountain, Rocks, Tree, Trees"
147,S12E04,Bright Autumn Trees,"Bushes, Deciduous, Path, River, Tree, Trees"
148,S12E05,Black Seascape,"Beach, Clouds, Cumulus, Night, Ocean, Rocks, Waves"
149,S12E06,Steep Mountains,"Bushes, Cabin, Cirrus, Clouds, Conifer, Deciduous, Grass, Lake, Mountain, Mountains, Structure, Tree, Trees"
150,S12E07,Quiet Mountain River,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Grass, Mountain, River, Snowy_Mountain, Tree, Trees"
151,S12E08,Evening Waterfall,"Conifer, Grass, River, Tree, Trees, Waterfall"
152,S12E09,Tropical Seascape,"Beach, Cirrus, Clouds, Ocean, Palm_Trees, Waves"
153,S12E10,Mountain At Sunset,"Bushes, Clouds, Conifer, Deciduous, Grass, Mountain, River, Snowy_Mountain, Tree, Trees"
154,S12E11,Soft Mountain Glow,"Bushes, Conifer, Grass, Mountain, River, Snowy_Mountain, Tree, Trees"
155,S12E12,Mountain In An Oval,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Framed, Grass, Mountain, Mountains, Oval_Frame, River, Sun, Tree, Trees"
156,S12E13,Winter Mountain,"Conifer, Mountain, Mountains, River, Snow, Snowy_Mountain, Tree, Trees, Winter"
157,S13E01,Rolling Hills,"Bushes, Deciduous, Grass, Hills, Lake, Tree, Trees"
158,S13E02,Frozen Solitude,"Bushes, Cabin, Clouds, Conifer, Lake, Mountain, Mountains, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter"
159,S13E03,Meadow Brook,"Cirrus, Clouds, Deciduous, Framed, Grass, Mountain, Oval_Frame, River, Tree, Trees"
160,S13E04,Evening At Sunset,"Bushes, Cabin, Cirrus, Clouds, Conifer, Deciduous, River, Rocks, Structure, Tree, Trees"
161,S13E05,Mountain View,"Clouds, Deciduous, Grass, Mountain, Mountains, River, Rocks, Tree, Trees"
162,S13E06,Hidden Creek,"Deciduous, Grass, River, Tree, Trees"
163,S13E07,Peaceful Haven,"Clouds, Conifer, Cumulus, Path, River, Tree, Trees"
164,S13E08,Mountain Exhibition,"Clouds, Conifer, Cumulus, Grass, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees"
165,S13E09,Emerald Waters,"Bushes, Deciduous, Lake, Tree, Trees"
166,S13E10,Mountain Summit,"Bushes, Clouds, Conifer, Cumulus, Deciduous, Mountain, River, Snowy_Mountain, Tree, Trees"
167,S13E11,Cabin Hideaway,"Cabin, Conifer, Deciduous, Lake, Mountain, Mountains, Snow, Structure, Tree, Trees, Winter"
168,S13E12,Oval Essence,"Clouds, Conifer, Framed, Night, Ocean, Oval_Frame, Rocks, Tree, Trees, Waves"
169,S13E13,Lost Lake,"Conifer, Grass, Lake, Mountain, Mountains, Path, Snowy_Mountain, Tree, Trees"
170,S14E01,Distant Mountains,"Bushes, Clouds, Conifer, Cumulus, Lake, Mountain, Mountains, Path, Snowy_Mountain, Tree, Trees"
171,S14E02,Meadow Brook Surprise,"Conifer, Grass, River, Tree, Trees"
172,S14E03,Mountain Moonlight Oval,"Conifer, Deciduous, Framed, Grass, Mountain, Mountains, Night, Oval_Frame, Tree, Trees"
173,S14E04,Snowy Solitude,"Cirrus, Clouds, Deciduous, Fence, Snow, Tree, Trees, Winter"
174,S14E05,Mountain River,"Bushes, Clouds, Conifer, Cumulus, Fog, Framed, Mountain, Mountains, River, Rocks, Tomb_Frame, Tree, Trees"
175,S14E06,Graceful Mountains,"Cirrus, Clouds, Conifer, Deciduous, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees"
176,S14E07,Windy Waves,"Beach, Clouds, Cumulus, Grass, Ocean, Palm_Trees, Waves"
177,S14E08,On A Clear Day,"Conifer, Mountain, River, Snow, Snowy_Mountain, Sun, Tree, Trees, Winter"
178,S14E09,Riverside Escape Oval,"Clouds, Cumulus, Deciduous, Framed, Oval_Frame, Path, River, Tree, Trees"
179,S14E10,Surprising Falls,"Cirrus, Clouds, Deciduous, Guest, Lake, Mountain, Mountains, Snowy_Mountain, Steve_Ross, Tree, Waterfall"
180,S14E11,Shadow Pond,"Deciduous, Grass, Lake, Tree, Trees"
181,S14E12,Misty Forest Oval,"Clouds, Deciduous, Fog, Framed, Grass, Oval_Frame, Tree, Trees"
182,S14E13,Natural Wonder,"Clouds, Conifer, Cumulus, Deciduous, Grass, Lake, Mountain, Snowy_Mountain, Tree, Trees"
183,S15E01,Splendor Of Winter,"Bushes, Cirrus, Clouds, Conifer, Deciduous, Snow, Sun, Tree, Trees, Winter"
184,S15E02,Colors Of Nature,"Clouds, Cumulus, Deciduous, Grass, River, Tree, Trees"
185,S15E03,Grandpa'S Barn,"Barn, Deciduous, Fence, Grass, Path, Structure, Tree, Trees"
186,S15E04,Peaceful Reflections,
187,S15E05,Hidden Winter Moon Oval,"Cabin, Cirrus, Clouds, Conifer, Framed, Lake, Mountain, Mountains, Oval_Frame, Snowy_Mountain, Structure, Tree, Trees, Winter"
188,S15E06,Waves Of Wonder,"Beach, Clouds, Cumulus, Ocean, Rocks, Waves"
189,S15E07,Cabin By The Pond,"Cabin, Clouds, Conifer, Deciduous, Grass, Lake, Structure, Tree, Trees"
190,S15E08,Fall Stream,"Clouds, Cumulus, Deciduous, Grass, Mountain, Mountains, River, Rocks, Tree, Trees"
191,S15E09,Christmas Eve Snow,"Cabin, Clouds, Conifer, Cumulus, Mountain, Mountains, Snow, Snowy_Mountain, Structure, Tree, Trees, Winter"
192,S15E10,Forest Dawn Oval,"Bushes, Deciduous, Framed, Grass, Oval_Frame, Path, Tree, Trees"
193,S15E11,Pathway To Autumn,"Cabin, Deciduous, Grass, Path, Structure, Tree, Trees"
194,S15E12,Deep Forest Lake,"Deciduous, Lake, Rocks, Tree, Trees"
195,S15E13,Peaks Of Majesty,"Cirrus, Clouds, Conifer, Grass, Lake, Mountain, Mountains, Tree, Trees"
196,S16E01,Two Seasons,"Clouds, Conifer, Cumulus, Deciduous, Fog, Lake, Mountain, Snowy_Mountain, Tree, Trees"
197,S16E02,Nestled Cabin,"Cabin, Deciduous, Grass, Path, Structure, Tree, Trees"
198,S16E03,Wintertime Discovery,"Cabin, Clouds, Conifer, Deciduous, Snow, Structure, Tree, Trees, Winter"
199,S16E04,Mountain Mirage,"Bushes, Clouds, Conifer, Cumulus, Fog, Snow, Tree, Trees, Winter"
200,S16E05,Double Oval Fantasy,"Bushes, Clouds, Conifer, Cumulus, Double_Oval_Frame, Framed, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
201,S16E06,Contemplative Lady,"Guest, Portrait"
202,S16E07,Deep Woods,"Conifer, River, Rocks, Tree, Trees, Waterfall"
203,S16E08,High Tide,"Beach, Clouds, Ocean, Palm_Trees, Waves"
204,S16E09,Barn In Snow Oval,"Barn, Conifer, Fence, Framed, Oval_Frame, Snow, Structure, Tree, Trees, Winter"
205,S16E10,That Time Of Year,"Clouds, Deciduous, Guest, Hills, Lake, Steve_Ross, Tree, Trees"
206,S16E11,Waterfall Wonder,"Bushes, Deciduous, River, Rocks, Tree, Trees, Waterfall"
207,S16E12,Mighty Mountain Lake,"Clouds, Cumulus, Flowers, Grass, Lake, Mountain, Snowy_Mountain"
208,S16E13,Wooded Stream Oval,"Deciduous, Framed, Oval_Frame, River, Rocks, Tree, Trees"
209,S17E01,Golden Mist Oval,"Conifer, Fog, Framed, Oval_Frame, River, Tree, Trees"
210,S17E02,The Old Home Place,"Cabin, Deciduous, Fence, Grass, Path, Structure, Tree"
211,S17E03,Soothing Vista,"Deciduous, Grass, Lake, Mountain, Mountains, Tree, Trees"
212,S17E04,Stormy Seas,"Beach, Clouds, Cumulus, Ocean, Rocks, Sun, Waves"
213,S17E05,Country Time,"Cabin, Deciduous, Flowers, Framed, Lake, Oval_Frame, Structure, Tree"
214,S17E06,A Mild Winter'S Day,"Clouds, Conifer, Deciduous, River, Snow, Tree, Trees, Winter"
215,S17E07,Spectacular Waterfall,"Conifer, Mountain, Mountains, River, Rocks, Tree, Trees, Waterfall"
216,S17E08,View From The Park,"Apple_Frame, Bridge, Building, Deciduous, Framed, Lake, Structure, Tree, Trees"
217,S17E09,Lake View,"Conifer, Deciduous, Flowers, Grass, Guest, Hills, Lake, Steve_Ross, Tree, Trees"
218,S17E10,Old Country Mill,"Deciduous, Mill, River, Rocks, Structure, Tree, Waterfall"
219,S17E11,Morning Walk,"Deciduous, Fog, Path, Tree, Trees"
220,S17E12,Nature'S Splendor,"Conifer, Grass, Mountain, River, Snowy_Mountain, Tree, Trees"
221,S17E13,Mountain Beauty,"Cumulus, Flowers, Grass, Guest, Hills, Lake, Mountain, Snowy_Mountain, Tree, Trees"
222,S18E01,Half-Oval Vignette,"Bushes, Clouds, Conifer, Cumulus, Framed, Half_Oval_Frame, Lake, Mountain, Mountains, Tree, Trees"
223,S18E02,Absolutely Autumn,"Bushes, Clouds, Cumulus, Deciduous, Grass, River, Tree, Trees"
224,S18E03,Mountain Seclusion,"Cabin, Clouds, Conifer, Mountain, Mountains, River, Snow, Structure, Tree, Trees, Winter"
225,S18E04,Crimson Oval,"Deciduous, Grass, River, Tree, Trees, Waterfall"
226,S18E05,Autumn Exhibition,"Deciduous, Grass, Lake, Tree, Trees"
227,S18E06,Majestic Peaks,"Bushes, Conifer, Lake, Mountain, Mountains, Snowy_Mountain, Tree, Trees"
228,S18E07,Golden Morning Mist,"Deciduous, Fog, Grass, River, Tree, Trees"
229,S18E08,Winter Lace,"Clouds, Cumulus, Deciduous, Framed, Half_Circle_Frame, Lake, Snow, Tree, Trees, Winter"
230,S18E09,Seascape Fantasy,"Beach, Cirrus, Clouds, Ocean, Waves"
231,S18E10,Double Oval Stream,"Bushes, Deciduous, Framed, River, Tree, Trees"
232,S18E11,Enchanted Forest,"Deciduous, Path, Tree, Trees"
233,S18E12,Southwest Serenity,"Cactus, Cirrus, Clouds, Mountain, Mountains, Path"
234,S18E13,Rippling Waters,"Deciduous, River, Rocks, Sun, Tree, Trees, Waterfall"
235,S19E01,Snowfall Magic,"Deciduous, River, Snow, Tree, Trees, Winter"
236,S19E02,Quiet Mountain Lake,"Clouds, Cumulus, Deciduous, Grass, Lake, Mountain, Tree, Trees"
237,S19E03,Final Embers Of Sunlight,"Deciduous, Framed, Oval_Frame, River, Sun, Tree, Trees"
238,S19E04,Snowy Morn,"Cabin, Conifer, Snow, Structure, Tree, Trees, Winter"
239,S19E05,Camper'S Haven,"Bushes, Conifer, Grass, Lake, Mountain, Mountains, Tree, Trees"
240,S19E06,Waterfall In The Woods,"Deciduous, Grass, River, Rocks, Tree, Trees, Waterfall"
241,S19E07,Covered Bridge Oval,"Bridge, Conifer, Fence, Framed, Oval_Frame, River, Snow, Structure, Tree, Trees, Winter"
242,S19E08,Scenic Seclusion,"Bushes, Conifer, Deciduous, Grass, Mountain, River, Tree, Trees, Waterfall"
243,S19E09,Ebb Tide,"Beach, Clouds, Cumulus, Ocean, Rocks, Sun, Waves"
244,S19E10,After The Rain,"Deciduous, Path, Tree, Trees"
245,S19E11,Winter'S Elegance,"Clouds, Cumulus, Deciduous, Lake, Rocks, Snow, Tree, Trees, Winter"
246,S19E12,Evening'S Peace,"Barn, Conifer, Deciduous, Fence, Moon, Night, Snow, Structure, Tree, Trees, Winter"
247,S19E13,Valley Of Tranquility,"Bushes, Clouds, Conifer, Cumulus, Grass, Mountain, Mountains, River, Snowy_Mountain, Tree, Trees, Waterfall"
